DensePolyNN:
experiment,accuracy,nr_linear_layers,learning_rate,beta1,beta2,epsilon,weight_decay
41,0.7822,6,0.00413205647795418,0.4483318313029713,0.9964329278655738,3.4846671217881774e-08,0.0009395834357950662
42,0.8358,6,0.0019372276939684013,0.9785802142213053,0.9979906564471056,2.521655017740166e-08,0.0006193961210932853
42,0.8374,6,0.0019372276939684013,0.9785802142213053,0.9979906564471056,2.521655017740166e-08,0.0006193961210932853
42,0.8291,6,0.0019372276939684013,0.9785802142213053,0.9979906564471056,2.521655017740166e-08,0.0006193961210932853
43,0.8222,6,0.001538236250956776,0.9761833837564513,0.9081101262994123,4.4698552627872475e-08,0.002590536434104962
43,0.8252,6,0.001538236250956776,0.9761833837564513,0.9081101262994123,4.4698552627872475e-08,0.002590536434104962
43,0.8103,6,0.001538236250956776,0.9761833837564513,0.9081101262994123,4.4698552627872475e-08,0.002590536434104962
44,0.8035,1,0.0002291807642947558,0.9921686957816584,0.9990383687402489,3.495877260073406e-08,0.0071017938358640675
44,0.8029,1,0.0002291807642947558,0.9921686957816584,0.9990383687402489,3.495877260073406e-08,0.0071017938358640675
44,0.8018,1,0.0002291807642947558,0.9921686957816584,0.9990383687402489,3.495877260073406e-08,0.0071017938358640675
45,0.7279,1,0.004666134135271983,0.46087083613553226,0.9768350308672062,4.752713934503309e-08,0.048924356402597236
45,0.7279,1,0.004666134135271983,0.46087083613553226,0.9768350308672062,4.752713934503309e-08,0.048924356402597236
45,0.7281,1,0.004666134135271983,0.46087083613553226,0.9768350308672062,4.752713934503309e-08,0.048924356402597236
46,0.722,8,0.000754027631397968,0.415047057903307,0.9642843039071314,4.603826788935318e-08,0.006936135099780716
46,0.577,8,0.000754027631397968,0.415047057903307,0.9642843039071314,4.603826788935318e-08,0.006936135099780716
46,0.7353,8,0.000754027631397968,0.415047057903307,0.9642843039071314,4.603826788935318e-08,0.006936135099780716
47,0.8233,8,0.0034303455095203435,0.9930729352619598,0.95716152106377,3.1537638750507804e-08,7.350996305962588e-05
47,0.8157,8,0.0034303455095203435,0.9930729352619598,0.95716152106377,3.1537638750507804e-08,7.350996305962588e-05
47,0.813,8,0.0034303455095203435,0.9930729352619598,0.95716152106377,3.1537638750507804e-08,7.350996305962588e-05
48,0.7176,8,0.00462691718200923,0.9933140878436946,0.9099437015227284,9.543219067295584e-08,0.007466646662282872
48,0.7319,8,0.00462691718200923,0.9933140878436946,0.9099437015227284,9.543219067295584e-08,0.007466646662282872
48,0.7847,8,0.00462691718200923,0.9933140878436946,0.9099437015227284,9.543219067295584e-08,0.007466646662282872
49,0.6965,8,0.0035910898525843365,0.8178866677326009,0.993109988192445,8.676787874301757e-08,0.014890105655324427
49,0.6821,8,0.0035910898525843365,0.8178866677326009,0.993109988192445,8.676787874301757e-08,0.014890105655324427
49,0.6752,8,0.0035910898525843365,0.8178866677326009,0.993109988192445,8.676787874301757e-08,0.014890105655324427
50,0.825,1,0.004656767147144516,0.4415682853667205,0.9919433557699915,4.604525417016058e-09,0.00041179712335153167
50,0.8242,1,0.004656767147144516,0.4415682853667205,0.9919433557699915,4.604525417016058e-09,0.00041179712335153167
50,0.8245,1,0.004656767147144516,0.4415682853667205,0.9919433557699915,4.604525417016058e-09,0.00041179712335153167
51,0.5189,8,0.004817339800890412,0.9926824410242566,0.9946097944573103,4.443002620097778e-08,0.02253543544621647
51,0.4766,8,0.004817339800890412,0.9926824410242566,0.9946097944573103,4.443002620097778e-08,0.02253543544621647
51,0.1,8,0.004817339800890412,0.9926824410242566,0.9946097944573103,4.443002620097778e-08,0.02253543544621647
52,0.8195,8,0.002966276487812284,0.7953760724307919,0.9866107837371929,7.400761994218206e-08,0.0002939880326546685
52,0.8129,8,0.002966276487812284,0.7953760724307919,0.9866107837371929,7.400761994218206e-08,0.0002939880326546685
52,0.7955,8,0.002966276487812284,0.7953760724307919,0.9866107837371929,7.400761994218206e-08,0.0002939880326546685
53,0.1,8,0.004046080926161284,0.4243619572803425,0.9685443288864772,4.1449021111871816e-08,0.085516948065369
53,0.1,8,0.004046080926161284,0.4243619572803425,0.9685443288864772,4.1449021111871816e-08,0.085516948065369
53,0.1,8,0.004046080926161284,0.4243619572803425,0.9685443288864772,4.1449021111871816e-08,0.085516948065369
54,0.709,8,0.002552726550174151,0.4438260701393182,0.9956861581983723,2.4667678749089134e-08,0.0030552028834125115
54,0.6374,8,0.002552726550174151,0.4438260701393182,0.9956861581983723,2.4667678749089134e-08,0.0030552028834125115
54,0.6827,8,0.002552726550174151,0.4438260701393182,0.9956861581983723,2.4667678749089134e-08,0.0030552028834125115
55,0.7669,9,0.00102939312042057,0.886939763043822,0.9938553572826756,9.212464022431865e-08,0.001505136317492084
55,0.7755,9,0.00102939312042057,0.886939763043822,0.9938553572826756,9.212464022431865e-08,0.001505136317492084
55,0.7737,9,0.00102939312042057,0.886939763043822,0.9938553572826756,9.212464022431865e-08,0.001505136317492084
56,0.6997,8,0.0011093481677805228,0.9532323571254853,0.9497219216356377,8.425283036594339e-08,0.00683148338093802
56,0.6986,8,0.0011093481677805228,0.9532323571254853,0.9497219216356377,8.425283036594339e-08,0.00683148338093802
56,0.7726,8,0.0011093481677805228,0.9532323571254853,0.9497219216356377,8.425283036594339e-08,0.00683148338093802
57,0.8282,5,0.0007311766387099341,0.662895471017064,0.9374982864152936,8.863004432894333e-08,0.0006752465103105787
57,0.828,5,0.0007311766387099341,0.662895471017064,0.9374982864152936,8.863004432894333e-08,0.0006752465103105787
