nr,lr,b1,b2,epsilon,weight_decay,energy,accuracy,best_acc
DensePolyNN,,,,,,,,
random_uniform,,,,,,,,
1,0.091540062,0.966207895,0.938629552,8.27E-08,0.079382857,2285.126683,0.330075,0.330075
2,0.046004622,0.342697266,0.841850797,5.83E-08,0.041176568,2277.396928,0.1027375,0.330075
3,0.012519664,0.61339248,0.903318245,1.02E-08,0.036773967,2293.383175,0.1452125,0.330075
4,0.072585278,0.188127771,0.827371385,3.82E-08,0.024575026,2280.13302,0.102125,0.330075
5,0.047023594,0.46278436,0.872504869,7.77E-08,0.001918171,2283.479123,0.1018,0.330075
6,0.092649404,0.201067156,0.817582038,1.68E-08,0.005016275,2280.146082,0.10315,0.330075
7,0.002667871,0.544653428,0.886421328,5.44E-08,0.022361826,2293.197837,0.28665,0.330075
8,0.011402482,0.865053997,0.942309195,2.63E-08,0.051457368,2293.375308,0.280375,0.330075
9,0.083111651,0.616141234,0.991867845,2.57E-08,0.097674569,2277.497648,0.105675,0.330075
10,0.066656619,0.967589227,0.897076142,7.60E-08,0.089337899,2298.064317,0.29,0.330075
11,0.06345296,0.947182433,0.962925647,9.52E-08,0.021623285,2293.702961,0.344225,0.344225
12,0.036107157,0.449132758,0.811463376,9.43E-08,0.089305925,2281.211748,0.11585,0.344225
13,0.069225517,0.594370761,0.972430125,7.93E-08,0.012149463,2285.071515,0.1042125,0.344225
14,0.052834391,0.632988601,0.807558375,2.25E-08,0.038399241,2279.125528,0.1163875,0.344225
15,0.033509675,0.901232257,0.886100527,4.79E-08,0.002206175,2293.015959,0.2391625,0.344225
16,0.000208942,0.704107109,0.873950367,1.06E-08,0.093423766,2305.816481,0.2422125,0.344225
17,0.017948512,0.48578471,0.938163499,9.79E-08,0.076605369,2280.35832,0.126075,0.344225
18,0.00990671,0.585003715,0.923436361,7.49E-08,0.09181384,2286.311764,0.150225,0.344225
19,0.034109649,0.163344823,0.873712226,3.73E-08,0.005655358,2279.176663,0.1017625,0.344225
20,0.090824815,0.925456041,0.846017683,9.90E-08,0.070357469,2272.56246,0.188375,0.344225
21,0.026054076,0.738592082,0.950202908,3.69E-08,0.065378699,2277.835127,0.1773125,0.344225
22,0.066076786,0.763951886,0.836172732,4.81E-08,0.052375211,2275.468068,0.1255875,0.344225
23,0.039701806,0.455483031,0.849552353,1.33E-08,0.07877898,2277.044288,0.1153,0.344225
24,0.079802239,0.811445884,0.964490736,5.48E-08,0.032441876,2277.555325,0.129275,0.344225
25,0.065279831,0.565104478,0.859394244,4.29E-08,0.098655023,2268.112714,0.1049625,0.344225
26,0.099598627,0.733469354,0.979834877,6.85E-08,0.01714613,2267.393613,0.1057125,0.344225
27,0.078283235,0.966629219,0.962096987,4.93E-08,0.044431233,2273.988175,0.194825,0.344225
28,0.020251545,0.585562536,0.899868707,1.56E-08,0.054159569,2274.454981,0.1355,0.344225
29,0.072875013,0.373970584,0.955972736,3.11E-08,0.094714402,2268.185166,0.1025,0.344225
30,0.058343316,0.407557306,0.846364712,4.52E-08,0.030759889,2265.979466,0.1019375,0.344225
31,0.077006809,0.845348341,0.915502284,9.38E-09,0.045812609,2267.932904,0.13005,0.344225
32,0.088654614,0.19640529,0.902056651,7.03E-09,0.02878285,2265.684384,0.11095,0.344225
33,0.013760738,0.564903141,0.945452106,7.58E-08,0.070807323,2284.344632,0.1756375,0.344225
34,0.023159724,0.493625576,0.998172698,1.75E-08,0.055988997,2274.850052,0.1343625,0.344225
35,0.072955574,0.131035966,0.800393142,7.75E-09,0.078355612,2264.701946,0.1083,0.344225
36,0.017464641,0.942252224,0.96737879,5.33E-08,0.093854325,2280.028354,0.272525,0.344225
37,0.073925542,0.311546293,0.997294509,5.35E-08,0.076632864,2277.45572,0.1043125,0.344225
38,0.034350378,0.646862329,0.906445036,4.36E-08,0.025712434,2304.211413,0.106225,0.344225
39,0.08049911,0.345009899,0.878440094,5.25E-08,0.076719835,2275.929563,0.106125,0.344225
40,0.048823064,0.620729097,0.834095694,5.88E-08,0.04582671,2284.339122,0.1043875,0.344225
41,0.042514284,0.169280646,0.918678133,1.68E-08,0.096416747,2289.735768,0.108575,0.344225
42,0.008948553,0.512189581,0.866351828,3.68E-08,0.082733386,2293.978978,0.1468375,0.344225
43,0.019031988,0.519549123,0.898975864,3.15E-08,0.028498794,2292.066629,0.1109125,0.344225
44,0.04207303,0.950332292,0.959251578,8.32E-08,0.082451289,2298.331419,0.29965,0.344225
45,0.076645225,0.304591061,0.84412703,1.77E-08,0.021780392,2281.259616,0.10225,0.344225
46,0.089548393,0.57455158,0.985292433,5.03E-08,0.072284553,2281.223216,0.10265,0.344225
47,0.089397657,0.507607356,0.850261282,3.82E-08,0.026964899,2290.799489,0.1027,0.344225
48,0.007487015,0.790054197,0.833142149,5.33E-08,0.046739931,2287.736175,0.1594125,0.344225
49,0.028498307,0.99349572,0.964941871,5.27E-08,0.030963422,2293.22967,0.3446625,0.3446625
50,0.056827151,0.977569651,0.874761447,1.98E-08,0.0584228,2302.265291,0.330625,0.3446625
51,0.071915373,0.299060092,0.905207977,6.40E-08,0.093927881,2272.057421,0.1045,0.3446625
52,0.082336831,0.974638804,0.886796014,3.49E-08,0.029191353,2303.331352,0.266875,0.3446625
53,0.063635969,0.133641189,0.908019011,9.39E-08,0.070289112,2288.22143,0.10425,0.3446625
54,0.060333267,0.677716899,0.840564554,3.32E-08,0.083861936,2294.253163,0.109025,0.3446625
