nr,lr,b1,b2,energy,,,accuracy,best_acc
DensePolyNN,,,,,,,,
random_uniform,,,,,,,,
12,0.01857033,0.492453814,0.823893481,2188.349186,,,0.1361625,0.1924375
13,0.081775223,0.69075246,0.928208606,2143.222368,,,0.10815,0.1924375
14,0.015725387,0.917191557,0.853866073,2172.130612,,,0.2375125,0.2375125
15,0.079358304,0.502003598,0.814154777,2162.975553,,,0.1013875,0.2375125
16,0.00380908,0.556043358,0.81753356,2174.872196,,,0.2413875,0.2413875
17,0.094505656,0.159604844,0.851485778,2164.67794,,,0.10485,0.2413875
18,0.039670697,0.73437392,0.977470668,2181.963225,,,0.1286625,0.2413875
19,0.08587003,0.563530758,0.940483095,2165.116993,,,0.1023875,0.2413875
20,0.081287011,0.580906673,0.899917461,2166.880722,,,0.1027625,0.2413875
21,0.013101977,0.662055391,0.985069244,2175.838724,,,0.1099375,0.2413875
22,0.00018062,0.707227479,0.927656023,2186.546694,,,0.364425,0.364425
23,0.04328291,0.76305237,0.841423801,2181.483582,,,0.148,0.364425
24,0.096002866,0.583738948,0.984213472,2170.006978,,,0.105825,0.364425
25,0.083878391,0.183581943,0.852063153,2175.675424,,,0.101625,0.364425
26,0.011382754,0.437813606,0.842777165,2183.755535,,,0.1081125,0.364425
27,0.087744264,0.496499581,0.955377408,2165.67686,,,0.101825,0.364425
28,0.039505122,0.486019329,0.936559258,2173.389758,,,0.1020875,0.364425
29,0.028133228,0.432572894,0.920098749,2186.369261,,,0.1089,0.364425
30,0.045747172,0.701479461,0.931968638,2179.044816,,,0.1075875,0.364425
31,0.010380045,0.429970375,0.958812078,2174.929261,,,0.1073625,0.364425
32,0.058805866,0.982151886,0.950716053,2179.34957,,,0.122225,0.364425
33,0.033065368,0.951373093,0.858756266,2182.164692,,,0.221025,0.364425
34,0.053408026,0.641983342,0.867926849,2177.069842,,,0.1095375,0.364425
35,0.075969638,0.630306763,0.909649012,2166.756617,,,0.10235,0.364425
36,0.002847623,0.133618557,0.998135245,2179.544969,,,0.230175,0.364425
37,0.051570094,0.491099856,0.903056846,2173.445534,,,0.106975,0.364425
38,0.069811064,0.918552427,0.843919819,2177.634829,,,0.103325,0.364425
39,0.068278315,0.397982236,0.912835966,2167.006711,,,0.100725,0.364425
40,0.095018768,0.225944813,0.906462757,2173.065099,,,0.105525,0.364425
41,0.024336141,0.247825095,0.901286326,2171.093727,,,0.10345,0.364425
42,0.032657052,0.737404576,0.912344483,2184.799669,,,0.166775,0.364425
43,0.037176656,0.936750865,0.952579811,2189.890106,,,0.120075,0.364425
44,0.007099497,0.305130709,0.960604057,2185.825533,,,0.110175,0.364425
45,0.037984877,0.543507331,0.810489513,2178.769265,,,0.1042,0.364425
46,0.092929858,0.233104599,0.93538347,2164.957976,,,0.10095,0.364425
47,0.086426972,0.420947824,0.874282312,2174.027043,,,0.1042375,0.364425
48,0.019652987,0.991083081,0.924084335,2189.473644,,,0.28095,0.364425
49,0.091019108,0.686121764,0.809901863,2167.049824,,,0.1039625,0.364425
50,0.037185513,0.456988799,0.955681502,2180.643989,,,0.1033875,0.364425
51,0.098537406,0.208426177,0.919981116,2171.905366,,,0.105525,0.364425
52,0.053724263,0.390013134,0.872571035,2168.494526,,,0.1024,0.364425
53,0.045692223,0.919874921,0.975367209,2156.772183,,,0.115125,0.364425
54,0.019180232,0.346062957,0.973540432,2151.691401,,,0.1036375,0.364425
55,0.084707393,0.577108828,0.950952188,2154.302846,,,0.1037875,0.364425
56,0.072423548,0.823155387,0.874605908,2155.10034,,,0.1027625,0.364425
57,0.083406985,0.21433828,0.956883102,2145.133422,,,0.1056625,0.364425
58,0.076967453,0.315075451,0.939700473,2153.809869,,,0.1035875,0.364425
59,0.035504159,0.593243719,0.837669341,2166.498451,,,0.14165,0.364425
60,0.031961109,0.497422849,0.904974099,2150.938946,,,0.1039625,0.364425
61,0.019754036,0.646934115,0.867178567,2165.611012,,,0.108575,0.364425
62,0.002947899,0.973747522,0.863207343,2159.878728,,,0.379675,0.379675
63,0.042405115,0.405960161,0.995936804,2149.770245,,,0.1003125,0.379675
grid,,,,,,,,
0,0.080002,0.82,0.8,2247.97838,,,0.102975,0.102975
1,0.060004,0.82,0.88,2191.869447,,,0.1017625,0.102975
2,1.00E-05,0.82,0.96,2195.733696,,,0.401775,0.401775
3,0.020008,0.28,0.88,2184.839308,,,0.1041625,0.401775
4,0.080002,0.82,0.88,2195.431618,,,0.1025,0.401775
5,0.040006,0.46,0.88,2189.808069,,,0.1039375,0.401775
6,1.00E-05,0.46,0.92,2204.72813,,,0.401675,0.401775
7,0.080002,0.28,0.88,2184.486701,,,0.1021375,0.401775
8,0.040006,0.82,0.92,2196.449457,,,0.1030625,0.401775
9,0.040006,0.28,0.8,2188.470726,,,0.101825,0.401775
10,0.080002,0.1,0.84,2186.114564,,,0.1016375,0.401775
11,1.00E-05,0.82,0.92,2202.123023,,,0.4012625,0.401775
12,1.00E-05,0.64,0.8,2207.617137,,,0.4019,0.4019
13,0.080002,0.1,0.8,2187.504551,,,0.10215,0.4019
14,0.020008,0.46,0.88,2201.745884,,,0.10475,0.4019
15,0.060004,0.1,0.92,2193.547524,,,0.10225,0.4019
16,0.040006,0.64,0.84,2196.420865,,,0.186975,0.4019
17,0.040006,0.28,0.84,2195.09933,,,0.1033625,0.4019
18,0.080002,0.82,0.84,2194.054894,,,0.1028,0.4019
19,0.060004,0.1,0.84,2188.497566,,,0.1012,0.4019
20,0.060004,0.28,0.92,2189.879325,,,0.1019875,0.4019
21,0.060004,0.64,0.84,2192.437663,,,0.102725,0.4019
22,0.080002,0.82,0.96,2194.137213,,,0.105025,0.4019
23,0.060004,0.64,0.88,2191.170603,,,0.1022875,0.4019
24,0.040006,0.82,0.96,2203.387601,,,0.1077125,0.4019
25,0.020008,0.64,0.92,2201.001803,,,0.1111,0.4019
26,0.080002,0.64,0.88,2191.602641,,,0.1010375,0.4019
27,0.080002,0.46,0.8,2190.389899,,,0.10785,0.4019
28,0.020008,0.82,0.96,2202.7481,,,0.14205,0.4019
29,0.040006,0.82,0.88,2207.576079,,,0.139325,0.4019
30,0.080002,0.28,0.96,2188.126011,,,0.10405,0.4019
31,0.040006,0.28,0.96,2193.720435,,,0.1018125,0.4019
32,0.060004,0.82,0.8,2188.381284,,,0.1036625,0.4019
33,0.020008,0.46,0.92,2195.250022,,,0.110875,0.4019
34,1.00E-05,0.64,0.96,2212.425175,,,0.4032,0.4032
35,0.020008,0.28,0.96,2195.122664,,,0.104375,0.4032
36,1.00E-05,0.82,0.88,2211.535629,,,0.4009375,0.4032
37,0.080002,0.1,0.88,2190.089056,,,0.1027875,0.4032
38,0.080002,0.82,0.92,2201.757014,,,0.1042375,0.4032
39,0.020008,0.46,0.8,2205.456822,,,0.1040875,0.4032
40,0.040006,0.1,0.92,2195.922344,,,0.1045125,0.4032
41,1.00E-05,0.28,0.8,2214.649544,,,0.402075,0.4032
42,0.040006,0.28,0.92,2206.206875,,,0.1018625,0.4032
43,0.020008,0.46,0.96,2211.66184,,,0.1366375,0.4032
44,0.060004,0.46,0.8,2206.193074,,,0.1096875,0.4032
45,0.080002,0.46,0.88,2217.472463,,,0.1099125,0.4032
46,0.040006,0.64,0.88,2220.607635,,,0.12775,0.4032
47,1.00E-05,0.46,0.96,2229.5604,,,0.4014125,0.4032
48,0.060004,0.82,0.92,2229.696625,,,0.110775,0.4032
49,0.020008,0.64,0.96,2249.334488,,,0.1739,0.4032
50,1.00E-05,0.1,0.92,2267.993112,,,0.402375,0.4032
51,1.00E-05,0.64,0.92,2258.481469,,,0.40275,0.4032
52,0.020008,0.1,0.88,2249.54538,,,0.1062875,0.4032
53,0.040006,0.82,0.84,2254.02461,,,0.1084375,0.4032
54,0.080002,0.64,0.96,2257.405854,,,0.109075,0.4032
55,1.00E-05,0.82,0.8,2269.579753,,,0.40175,0.4032
56,0.040006,0.46,0.92,2255.790791,,,0.10355,0.4032
57,0.060004,0.1,0.8,2242.50606,,,0.107475,0.4032
58,1.00E-05,0.28,0.96,2267.867744,,,0.4019125,0.4032
59,1.00E-05,0.28,0.84,2275.37497,,,0.4023375,0.4032
60,1.00E-05,0.82,0.84,2269.363186,,,0.4011125,0.4032
61,0.020008,0.82,0.92,2260.716683,,,0.1455375,0.4032
62,0.060004,0.28,0.96,2249.648512,,,0.102975,0.4032
63,0.040006,0.46,0.8,2254.7273,,,0.1364625,0.4032
bayesian_uniform,,,,,,,,
0,0.091098486,0.945342098,0.916445515,2193.222756,,,0.1043625,0.1043625
1,0.054347601,0.51968181,0.801766551,2214.290612,,,0.1026625,0.1043625
2,0.003477586,0.672717273,0.999796973,2210.730111,,,0.2743125,0.2743125
3,0.02013837,0.121131993,0.997535593,2188.71684,,,0.107325,0.2743125
4,0.098962704,0.54052035,0.99775581,2186.1288,,,0.1046625,0.2743125
5,0.007104087,0.991430068,0.992207903,2202.77371,,,0.3856375,0.3856375
6,0.005545958,0.951300714,0.999513024,2208.061381,,,0.3753,0.3856375
7,0.002034589,0.993075812,0.992891503,2203.265843,,,0.388175,0.388175
8,0.02979445,0.999953192,0.999415304,2193.088619,,,0.13465,0.388175
9,0.050660526,0.673179281,0.944039504,2202.407735,,,0.1013875,0.388175
10,0.092609966,0.127556116,0.984288919,2195.806686,,,0.1020875,0.388175
11,0.038916999,0.875275244,0.921642052,2210.858021,,,0.12015,0.388175
12,0.043524364,0.143593714,0.891265498,2204.208245,,,0.1027,0.388175
13,0.067053285,0.255287775,0.88232375,2194.53935,,,0.10165,0.388175
14,0.062364348,0.982325215,0.829900694,2211.172543,,,0.1188125,0.388175
15,0.093131414,0.213064453,0.885294949,2197.913724,,,0.10175,0.388175
16,0.075407122,0.153156743,0.861340915,2201.294914,,,0.105175,0.388175
17,0.039375419,0.976140202,0.955972106,2216.425233,,,0.1413,0.388175
18,0.024455824,0.330466249,0.957927113,2200.758972,,,0.1052625,0.388175
19,0.066705717,0.74748793,0.853608907,2207.180147,,,0.1039125,0.388175
