nr,lr,b1,b2,epsilon,weight_decay,energy,accuracy,best_acc
DensePolyNN,,,,,,,,
random_uniform,,,,,,,,
22,0.057156395,0.323571978,0.938093654,5.06E-08,0.09054632,272.84835,0.3088875,0.7546875
23,0.073378914,0.52958958,0.808552014,9.98E-08,0.014155176,269.4564846,0.17895,0.7546875
24,0.089959257,0.898771069,0.954859489,2.96E-08,0.058010483,276.8701186,0.7144125,0.7546875
25,0.025343661,0.251218338,0.883211342,4.31E-08,0.060705855,276.1946409,0.6545875,0.7546875
26,0.092690121,0.855674492,0.860550561,8.67E-08,0.046739154,275.0671735,0.6375,0.7546875
27,0.019537929,0.946801421,0.813554984,9.40E-08,0.040641296,277.6253746,0.672575,0.7546875
28,0.03565306,0.543896929,0.838891983,2.20E-08,0.024131153,272.158804,0.3360625,0.7546875
29,0.065624783,0.592234868,0.80836834,9.42E-08,0.073076926,271.6224795,0.3408125,0.7546875
30,0.067098276,0.839617113,0.842402222,3.57E-09,0.036153281,275.020905,0.5142375,0.7546875
31,0.056052942,0.451078141,0.996734168,5.02E-08,0.004259461,269.1547442,0.24275,0.7546875
32,0.086216465,0.59662019,0.803484514,5.26E-08,0.028875658,267.2805842,0.1933,0.7546875
33,0.059286389,0.392377813,0.816554095,6.72E-08,0.095922575,271.8622414,0.2550375,0.7546875
34,0.078885482,0.177675951,0.80645822,1.55E-08,0.04576063,267.5569558,0.212575,0.7546875
35,0.009037832,0.701514648,0.871786583,9.57E-08,0.081970053,272.6453265,0.6982,0.7546875
36,0.000964051,0.394643743,0.880142315,7.89E-08,0.08146522,276.6007147,0.6846875,0.7546875
37,0.079264445,0.806489214,0.920938718,7.70E-08,0.085959776,273.7293158,0.6237375,0.7546875
38,0.062612602,0.861852828,0.975362133,6.07E-08,0.03498553,272.5618675,0.58475,0.7546875
39,0.007997694,0.747657395,0.922001888,4.50E-08,0.010461821,275.0456083,0.7642,0.7642
40,0.0205422,0.422440452,0.955604119,2.90E-08,0.08903161,272.971922,0.658625,0.7642
41,0.090093215,0.705219363,0.956019955,3.72E-08,0.010081332,267.8888063,0.2040625,0.7642
42,0.005687535,0.329365961,0.826018236,4.17E-08,0.062107827,272.2302146,0.7046625,0.7642
43,0.032985636,0.819322678,0.927597199,7.64E-08,0.065794748,269.051689,0.2488125,0.7642
44,0.07673732,0.853581981,0.963523371,8.86E-08,0.035876851,275.4482482,0.6593125,0.7642
45,0.091577227,0.826905294,0.825928469,8.49E-08,0.017465174,267.9832163,0.2082625,0.7642
46,0.002392498,0.812110337,0.878737735,5.73E-08,0.063810978,274.3361162,0.7295625,0.7642
47,0.033828427,0.120394764,0.829053303,2.92E-08,0.096117341,273.6394714,0.3986875,0.7642
48,0.015404195,0.699465876,0.909975934,8.99E-08,0.006273097,273.7505637,0.7845125,0.7845125
49,0.053484524,0.428614814,0.988966952,8.64E-08,0.008969085,267.010987,0.253675,0.7845125
50,0.015626966,0.679441339,0.819722317,7.17E-08,0.083745026,277.7599685,0.70815,0.7845125
51,0.065788676,0.976834743,0.931615251,1.13E-08,0.004350521,271.3122896,0.8064375,0.8064375
52,0.036485437,0.47872144,0.852638752,4.17E-08,0.018402861,267.1450968,0.3083125,0.8064375
53,0.089029198,0.643516516,0.828805181,7.61E-08,0.094353647,271.0128682,0.3138375,0.8064375
54,0.047945272,0.434497262,0.961600315,4.71E-08,0.064789042,271.2740595,0.3703625,0.8064375
55,0.033869077,0.252264366,0.874978803,5.90E-08,0.049082972,272.8505369,0.3769125,0.8064375
56,0.00729301,0.616436053,0.995060236,5.11E-08,0.071281535,275.915052,0.6594,0.8064375
57,0.052526382,0.401723183,0.987555414,6.35E-08,0.041625846,270.1050139,0.28365,0.8064375
58,0.023535446,0.755916262,0.968126296,6.94E-08,0.071117599,277.3201124,0.7119625,0.8064375
59,0.068592336,0.769917166,0.835765575,5.63E-08,0.024902475,274.2171495,0.4406375,0.8064375
60,0.015585095,0.415163864,0.935340007,6.42E-08,0.022480339,274.1532859,0.6805375,0.8064375
61,0.086480383,0.727492527,0.99605978,4.49E-08,0.001446781,271.5826383,0.1958875,0.8064375
62,0.05482909,0.706028423,0.912415978,7.32E-08,0.082217715,274.5939321,0.287075,0.8064375
63,0.081571232,0.852818846,0.885713458,8.40E-08,0.034818897,276.8234126,0.577825,0.8064375
grid,,,,,,,,
0,0.080002,0.28,0.88,6.04E-08,0.04,275.407892,0.2449625,0.2449625
1,0.060004,0.1,0.88,4.06E-08,0.02,275.3636385,0.2002625,0.2449625
