nr,lr,b1,b2,energy,,,accuracy,best_acc
DensePolyNN,,,,,,,,
random_uniform,,,,,,,,
32,0.058805866,0.982151886,0.950716053,262.9602698,,,0.3657,0.841425
33,0.033065368,0.951373093,0.858756266,262.7891689,,,0.5995,0.841425
34,0.053408026,0.641983342,0.867926849,259.5581984,,,0.2010875,0.841425
35,0.075969638,0.630306763,0.909649012,256.6104154,,,0.19275,0.841425
36,0.002847623,0.133618557,0.998135245,262.566833,,,0.626525,0.841425
37,0.051570094,0.491099856,0.903056846,258.7277238,,,0.18715,0.841425
38,0.069811064,0.918552427,0.843919819,260.8429726,,,0.25365,0.841425
39,0.068278315,0.397982236,0.912835966,256.6403232,,,0.178775,0.841425
40,0.095018768,0.225944813,0.906462757,255.6787291,,,0.1679375,0.841425
41,0.024336141,0.247825095,0.901286326,259.9786071,,,0.2365375,0.841425
42,0.032657052,0.737404576,0.912344483,259.8151234,,,0.1931125,0.841425
43,0.037176656,0.936750865,0.952579811,261.6845899,,,0.2332,0.841425
44,0.007099497,0.305130709,0.960604057,263.8689739,,,0.71105,0.841425
45,0.037984877,0.543507331,0.810489513,257.9644716,,,0.238525,0.841425
46,0.092929858,0.233104599,0.93538347,256.6760748,,,0.2185375,0.841425
47,0.086426972,0.420947824,0.874282312,257.4347891,,,0.165475,0.841425
48,0.019652987,0.991083081,0.924084335,262.2803447,,,0.8288625,0.841425
49,0.091019108,0.686121764,0.809901863,256.8242923,,,0.2064125,0.841425
50,0.037185513,0.456988799,0.955681502,259.2415071,,,0.179475,0.841425
51,0.098537406,0.208426177,0.919981116,257.0936338,,,0.1902875,0.841425
52,0.053724263,0.390013134,0.872571035,258.0279304,,,0.20115,0.841425
53,0.045692223,0.919874921,0.975367209,260.8767102,,,0.290425,0.841425
54,0.019180232,0.346062957,0.973540432,261.1483771,,,0.2055,0.841425
55,0.084707393,0.577108828,0.950952188,259.2312742,,,0.1945625,0.841425
56,0.072423548,0.823155387,0.874605908,260.2443764,,,0.2116625,0.841425
57,0.083406985,0.21433828,0.956883102,256.8038019,,,0.178525,0.841425
58,0.076967453,0.315075451,0.939700473,258.5645075,,,0.188925,0.841425
59,0.035504159,0.593243719,0.837669341,259.851648,,,0.1895625,0.841425
60,0.031961109,0.497422849,0.904974099,259.6921168,,,0.2257375,0.841425
61,0.019754036,0.646934115,0.867178567,264.0898756,,,0.2083375,0.841425
62,0.002947899,0.973747522,0.863207343,265.7212876,,,0.8352125,0.841425
63,0.042405115,0.405960161,0.995936804,260.2464783,,,0.1718875,0.841425
grid,,,,,,,,
0,0.080002,0.82,0.8,259.6516184,,,0.19875,0.19875
1,0.060004,0.82,0.88,264.5748683,,,0.1917875,0.19875
2,1.00E-05,0.82,0.96,268.6443188,,,0.8138625,0.8138625
3,0.020008,0.28,0.88,261.7493571,,,0.2185,0.8138625
4,0.080002,0.82,0.88,259.611547,,,0.1942375,0.8138625
5,0.040006,0.46,0.88,262.9774093,,,0.22515,0.8138625
6,1.00E-05,0.46,0.92,270.5483574,,,0.81405,0.81405
7,0.080002,0.28,0.88,260.9178096,,,0.178,0.81405
8,0.040006,0.82,0.92,263.8922572,,,0.17905,0.81405
9,0.040006,0.28,0.8,262.0547568,,,0.186875,0.81405
10,0.080002,0.1,0.84,261.5456425,,,0.2040875,0.81405
11,1.00E-05,0.82,0.92,266.4104442,,,0.813925,0.81405
12,1.00E-05,0.64,0.8,267.1266242,,,0.814,0.81405
13,0.080002,0.1,0.8,260.3090335,,,0.1899875,0.81405
14,0.020008,0.46,0.88,264.0764249,,,0.21665,0.81405
15,0.060004,0.1,0.92,262.2720115,,,0.2042875,0.81405
16,0.040006,0.64,0.84,265.9133665,,,0.193275,0.81405
17,0.040006,0.28,0.84,263.0184863,,,0.18115,0.81405
18,0.080002,0.82,0.84,263.0893424,,,0.1900875,0.81405
19,0.060004,0.1,0.84,260.4049624,,,0.2464,0.81405
20,0.060004,0.28,0.92,258.5567105,,,0.2016375,0.81405
21,0.060004,0.64,0.84,259.2721269,,,0.231475,0.81405
22,0.080002,0.82,0.96,260.4620178,,,0.18155,0.81405
23,0.060004,0.64,0.88,259.795368,,,0.1968875,0.81405
24,0.040006,0.82,0.96,263.0397232,,,0.2541375,0.81405
25,0.020008,0.64,0.92,265.9446935,,,0.2577125,0.81405
26,0.080002,0.64,0.88,260.5207606,,,0.184725,0.81405
27,0.080002,0.46,0.8,259.2848025,,,0.2041125,0.81405
28,0.020008,0.82,0.96,266.1054937,,,0.333975,0.81405
29,0.040006,0.82,0.88,262.4634183,,,0.2127625,0.81405
30,0.080002,0.28,0.96,256.3529746,,,0.2285125,0.81405
31,0.040006,0.28,0.96,258.6589632,,,0.196075,0.81405
32,0.060004,0.82,0.8,260.9950267,,,0.19605,0.81405
33,0.020008,0.46,0.92,261.5692603,,,0.2381875,0.81405
34,1.00E-05,0.64,0.96,267.3965459,,,0.814275,0.814275
35,0.020008,0.28,0.96,264.6722053,,,0.2552125,0.814275
36,1.00E-05,0.82,0.88,267.4529563,,,0.8143,0.8143
37,0.080002,0.1,0.88,261.4599115,,,0.192725,0.8143
38,0.080002,0.82,0.92,263.3450123,,,0.21795,0.8143
39,0.020008,0.46,0.8,265.0398909,,,0.234425,0.8143
40,0.040006,0.1,0.92,263.1866476,,,0.1942125,0.8143
41,1.00E-05,0.28,0.8,268.3169894,,,0.8139,0.8143
42,0.040006,0.28,0.92,264.1274928,,,0.22415,0.8143
43,0.020008,0.46,0.96,264.7737776,,,0.23915,0.8143
44,0.060004,0.46,0.8,263.6125212,,,0.1881625,0.8143
45,0.080002,0.46,0.88,261.415863,,,0.193275,0.8143
46,0.040006,0.64,0.88,268.5688791,,,0.173,0.8143
47,1.00E-05,0.46,0.96,270.1239673,,,0.8142375,0.8143
48,0.060004,0.82,0.92,266.3144803,,,0.237325,0.8143
49,0.020008,0.64,0.96,267.8384727,,,0.2426,0.8143
50,1.00E-05,0.1,0.92,270.6566116,,,0.8132875,0.8143
51,1.00E-05,0.64,0.92,272.131383,,,0.81455,0.81455
52,0.020008,0.1,0.88,267.29674,,,0.209025,0.81455
53,0.040006,0.82,0.84,268.396942,,,0.1934,0.81455
54,0.080002,0.64,0.96,263.4344622,,,0.1733125,0.81455
55,1.00E-05,0.82,0.8,271.9760524,,,0.8138375,0.81455
56,0.040006,0.46,0.92,265.6311903,,,0.1878,0.81455
